,Item ID,Major,Minor,Type,Name,Discounted Price,Original price,Discount,Quantity,Sponsored
0,0,snacks & beverages,biscuits,cookies,"BRITANNIA NutriChoice Oats, Orange Almond Cookies",25,25,0,75.0,False
1,1,snacks & beverages,biscuits,cookies,BRITANNIA Nice Time Coconut Cookies,23,25,8,150.0,False
2,2,snacks & beverages,biscuits,cookies,Dukes Kaju Kukkies Cookies,50,100,50,400.0,False
3,3,snacks & beverages,biscuits,cookies,Priyagold Italiano with Crunchy Choco Chips Cookies,65,65,0,100.0,False
4,4,snacks & beverages,biscuits,cookies,Priyagold Italiano with Crunchy Coconut Cookies,65,65,0,100.0,False
5,5,snacks & beverages,biscuits,cream biscuits,Cadbury Chocobakes Choc Cream Filled,51,60,15,150.0,False
6,6,snacks & beverages,biscuits,cream biscuits,Sunfeast Dark Fantasy Choco Cream Filled,99,140,29,300.0,False
7,7,snacks & beverages,biscuits,cream biscuits,OREO Choco Biscuits Cream Sandwich,30,30,0,120.0,False
8,8,snacks & beverages,biscuits,cream biscuits,BRITANNIA Milk Bikis Biscuits Cream Sandwich,42,45,6,200.0,False
9,9,snacks & beverages,biscuits,cream biscuits,OREO Cadbury Dipped Cookie Cream Sandwich,48,60,20,150.0,False
10,10,snacks & beverages,biscuits,marie & digestive,BRITANNIA Nutri Choice 5 Grain High Fibre Multigrain Biscuits Digestive,58,65,10,200.0,False
11,11,snacks & beverages,biscuits,marie & digestive,BRITANNIA Gold Marie Biscuit,32,32,0,250.0,False
12,12,snacks & beverages,biscuits,marie & digestive,Dukes Digestive,125,250,50,10000.0,False
13,13,snacks & beverages,biscuits,marie & digestive,BRITANNIA Nutri Choice High Fibre Biscuits Digestive,153,180,15,1000.0,False
14,14,snacks & beverages,biscuits,marie & digestive,Priyagold Biscuits Digestive,35,65,46,200.0,False
15,15,snacks & beverages,biscuits,milk & glucose,BRITANNIA Milk Bikis Biscuits Plain,55,65,15,500.0,False
16,16,snacks & beverages,biscuits,milk & glucose,PARLE G Gold Biscuits Plain,112,125,10,1000.0,False
17,17,snacks & beverages,biscuits,milk & glucose,PARLE G Original Gluco Biscuits Plain,75,75,0,800.0,False
18,18,snacks & beverages,biscuits,milk & glucose,PARLE Monaco Classic Plain,102,120,15,800.0,False
19,19,snacks & beverages,biscuits,milk & glucose,PARLE G Gold Plain,250,250,0,2000.0,True
20,20,snacks & beverages,biscuits,salted,BRITANNIA Little Hearts Classic Sweet & Salty,17,20,15,75.0,False
21,21,snacks & beverages,biscuits,salted,BRITANNIA 50-50 Maska Chaska Salted Biscuit,28,30,6,120.0,False
22,22,snacks & beverages,biscuits,salted,BRITANNIA Nutrichoice Sugar Free Cracker Salted Biscuit,40,45,11,300.0,False
23,23,snacks & beverages,biscuits,salted,Dukes Cheesy Nibbles Salted Biscuit,41,55,25,150.0,False
24,24,snacks & beverages,biscuits,salted,PARLE Monaco Salted Biscuit,30,30,0,200.0,True
25,25,snacks & beverages,biscuits,cheeslets,PARLE Monaco Classic Cheeselets,60,60,0,150.0,False
26,26,snacks & beverages,biscuits,wafers & rusk,BRITANNIA Toastea NA flavored Sooji Rusk,83,98,15,654.0,True
27,27,snacks & beverages,biscuits,wafers & rusk,BRITANNIA Premium Sooji Rusk,38,40,5,273.0,False
28,28,snacks & beverages,biscuits,wafers & rusk,Dukes Waffy Choco Wafer Rolls,75,150,50,250.0,False
29,29,snacks & beverages,biscuits,wafers & rusk,PARLE Premium Elaichi Rusk,48,48,0,300.0,False
30,30,snacks & beverages,biscuits,wafers & rusk,BRITANNIA Treat Wafers,17,25,32,75.0,False
31,31,snacks & beverages,"chips, namkeen & snacks",namkeen,PARLE Aloo Bhujia,99,200,50,750.0,False
32,32,snacks & beverages,"chips, namkeen & snacks",namkeen,Haldiram's Bhujia,99,99,0,400.0,False
33,33,snacks & beverages,"chips, namkeen & snacks",namkeen,Haldiram's Navrattan,215,215,0,1000.0,False
34,34,snacks & beverages,"chips, namkeen & snacks",namkeen,Haldiram's Punjabi Tadka,47,48,2,200.0,True
35,35,snacks & beverages,"chips, namkeen & snacks",namkeen,KURKURE Puffcorn Yummy Cheese,20,20,0,55.0,False
36,36,snacks & beverages,"chips, namkeen & snacks",chips,Parle's Cream and Onion Flavour Wafers,30,60,50,150.0,False
37,37,snacks & beverages,"chips, namkeen & snacks",chips,Too Yumm! Potato Stix Aloo Chat Chips,25,50,50,75.0,False
38,38,snacks & beverages,"chips, namkeen & snacks",chips,Lay’s Magic Masala Chips,112,150,25,345.0,False
39,39,snacks & beverages,"chips, namkeen & snacks",chips,Lay's American Style Cream and Onion Chips,120,150,20,345.0,False
40,40,snacks & beverages,"chips, namkeen & snacks",chips,Uncle Chipps Spicy Treat Chips,19,20,5,40.0,False
41,41,snacks & beverages,"chips, namkeen & snacks","popcorn, papad & fryums",ACT II Classic Salted Popcorn,55,55,0,180.0,False
42,42,snacks & beverages,"chips, namkeen & snacks","popcorn, papad & fryums",PUMPUM Panipuri Fryums 250 g,118,120,1,250.0,False
43,43,snacks & beverages,"chips, namkeen & snacks","popcorn, papad & fryums","ATISH PAPAD - Pani Puri, (Ready to Fry)",40,50,20,200.0,False
44,44,snacks & beverages,"chips, namkeen & snacks","popcorn, papad & fryums",ATISH PAPAD - Plain,36,45,20,150.0,False
45,45,snacks & beverages,"chips, namkeen & snacks","popcorn, papad & fryums",ACT II Party Pack Butter Delite Popcorn,120,130,7,450.0,False
46,46,snacks & beverages,"chips, namkeen & snacks",snacky nuts,Flipkart Supermart Masala Peanuts,85,170,50,400.0,False
47,47,snacks & beverages,"chips, namkeen & snacks",snacky nuts,Haldiram's Classic Gup Shup Peanuts,50,50,0,200.0,False
48,48,snacks & beverages,"chips, namkeen & snacks",snacky nuts,Haldiram's Classic Nut Cracker,48,48,0,200.0,False
49,49,snacks & beverages,"chips, namkeen & snacks",snacky nuts,Haldiram's Masala Peanut,48,48,0,200.0,False
50,50,snacks & beverages,"chips, namkeen & snacks",snacky nuts,KALEVA Tasty,69,118,41,240.0,False
